headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
2S67,SHEFFLD,2016-03-29 22:48:00,142052,1,1.31666666666667,2016-03-30 00:03:00,2016-03-30 00:01:41,0,0.5
5F83,SOUTHPT,2016-03-29 23:51:00,156429,3,-1.51666666666667,2016-03-30 00:16:00,2016-03-30 00:13:00,1.5,0.6
5N86,PRST,2016-03-30 00:16:00,150210,2,0.483333333333333,2016-03-30 00:25:00,2016-03-30 00:16:00,1.08333333333333,1
5J32,MNCRPIC,2016-03-29 23:41:00,150222,2,-0.7,2016-03-30 00:15:12,2016-03-30 00:12:00,1.33333333333333,0.5
5J93,SBYD,2016-03-29 23:38:00,150146,1,0.0666666666666667,2016-03-30 00:04:12,2016-03-30 00:01:52,1.03333333333333,1
5H70,HADFILD,2016-03-29 23:32:00,156482,3,-1.45,2016-03-30 00:11:00,2016-03-30 00:03:00,3.41666666666667,1
2C64,LEEDS,2016-03-29 23:32:00,150144,1,-1.21666666666667,2016-03-30 00:08:08,2016-03-30 00:06:00,0.916666666666667,1
2S69,NWMILSC,2016-03-29 23:30:00,156425,1,-2.65,2016-03-30 00:05:44,2016-03-30 00:02:00,1.08333333333333,1
5H18,MACLSFD,2016-03-29 23:57:00,156482,2,1.13333333333333,2016-03-30 01:01:37,2016-03-30 00:10:07,3.75,0.166666666666667
2B13,LEEDS,2016-03-30 11:21:00,150137,2,1.43333333333333,2016-03-30 11:24:00,2016-03-30 11:19:44,2.83333333333333,0.285714285714286
2N91,BOLTON,2016-03-30 10:41:00,150220,2,-0.0166666666666667,2016-03-30 11:12:00,2016-03-30 11:11:00,0.666666666666667,0.0909090909090909
2W71,SELBY,2016-03-30 10:54:00,150143,3,4.1,2016-03-30 11:37:00,2016-03-30 11:30:00,2.83333333333333,0.214285714285714
5K21,NEVLTMD,2016-03-30 11:30:00,158907,1,-0.366666666666667,2016-03-30 11:38:22,2016-03-30 11:38:00,0,0.5
5T09,MNCRPIC,2016-03-30 00:07:00,156425,3,-2.73333333333333,2016-03-30 00:07:54,2016-03-30 00:03:00,0.583333333333333,0.428571428571429
2J56,CLITHRO,2016-03-30 10:46:00,150205,2,-1.51666666666667,2016-03-30 11:35:00,2016-03-30 11:30:11,3.58333333333333,0.153846153846154
5J93,SBYD,2016-03-29 23:38:00,156491,1,2.21666666666667,2016-03-30 00:03:00,2016-03-30 00:00:47,0,1
2F97,MNCROXR,2016-03-30 11:16:00,142009,3,0.983333333333333,2016-03-30 11:19:00,2016-03-30 11:16:11,0.583333333333333,0.333333333333333
2N91,BOLTON,2016-03-30 10:41:00,158752,1,3.86666666666667,2016-03-30 11:29:00,2016-03-30 11:25:08,0,0.0454545454545455
2S69,NWMILSC,2016-03-29 23:30:00,156464,1,-1.66666666666667,2016-03-30 00:03:40,2016-03-30 00:02:00,0,1
2N46,SHEFFLD,2016-03-29 23:15:00,142062,8,-0.633333333333333,2016-03-30 00:23:38,2016-03-30 00:02:00,0.625,1
2H05,BUXTON,2016-03-30 10:29:00,150103,2,-0.0333333333333332,2016-03-30 11:25:00,2016-03-30 11:22:00,2.25,0.0909090909090909
2N59,SLFDCT,2016-03-30 11:04:00,156455,1,-3.25,2016-03-30 11:09:40,2016-03-30 11:06:00,0.416666666666667,0.111111111111111
2C35,HULL,2016-03-30 10:18:00,158860,3,-3.51666666666667,2016-03-30 11:24:31,2016-03-30 11:20:00,3.16666666666667,0.1875
2C24,LEEDS,2016-03-30 10:59:00,150137,2,1.93333333333333,2016-03-30 11:12:00,2016-03-30 11:09:04,0.5,0.222222222222222
2S25,SKPT,2016-03-30 11:01:00,158848,3,2.4,2016-03-30 11:15:36,2016-03-30 11:11:00,1,0.1875
2W71,SELBY,2016-03-30 10:54:00,150116,3,-1.86666666666667,2016-03-30 11:14:00,2016-03-30 11:09:02,1,0.214285714285714
2N23,HAZL,2016-03-30 09:36:00,150134,3,-1.28333333333333,2016-03-30 11:13:17,2016-03-30 11:10:57,1,0.0731707317073171
5J52,MNCROXR,2016-03-29 23:00:00,150271,1,-0.216666666666667,2016-03-30 00:00:13,2016-03-30 00:00:00,0,1
2C21,YORK,2016-03-30 10:11:00,158902,1,4.7,2016-03-30 11:21:00,2016-03-30 11:16:18,0,0.0476190476190476
2W69,SELBY,2016-03-30 09:54:00,158849,4,2.85,2016-03-30 11:35:00,2016-03-30 11:23:39,1.33333333333333,0.166666666666667
2P92,WORKSOP,2016-03-29 23:28:00,158902,2,-0.633333333333333,2016-03-30 00:03:38,2016-03-30 00:01:00,0.0833333333333334,1
2S11,COLNE,2016-03-30 10:21:00,158752,1,-3.38333333333333,2016-03-30 11:37:18,2016-03-30 11:33:00,0.916666666666667,0.0333333333333333
2P38,LEEDS,2016-03-30 11:10:00,158753,1,2.48333333333333,2016-03-30 11:10:00,2016-03-30 11:07:31,0,0.125
2A76,MNCRPIC,2016-03-30 11:14:00,150103,1,-1.95,2016-03-30 11:18:57,2016-03-30 11:17:00,0,0.0769230769230769
2L31,LEEDS,2016-03-30 11:33:00,150137,1,0.933333333333333,2016-03-30 11:32:00,2016-03-30 11:31:04,0,0.333333333333333
