headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5N34,NWCSTLE,2015-03-17 00:54:00,82209,2,-2.38333333333333,2015-03-17 00:47:54,2015-03-17 00:39:00,0.6,0.666666666666667
1E01,EDINBUR,2015-03-17 05:40:00,82213,53,-0.583333333333333,2015-03-17 09:43:00,2015-03-17 05:39:00,0.6,1
1S16,KNGX,2015-03-17 12:00:00,40701,34,-0.6,2015-03-17 14:23:00,2015-03-17 11:59:00,0.591666666666667,0.971428571428571
1D05,KNGX,2015-03-17 08:06:00,40737,33,-0.916666666666667,2015-03-17 10:15:51,2015-03-17 08:05:00,0.591666666666667,0.970588235294118
3A15,NEVLTMD,2015-03-17 06:22:00,40701,8,-0.933333333333333,2015-03-17 07:19:22,2015-03-17 06:36:00,0.579166666666666,0.888888888888889
5E06,PLMDCMD,2015-03-17 06:00:00,82227,3,-1.86666666666667,2015-03-17 06:12:18,2015-03-17 06:05:00,0.575,0.75
1E17,EDINBUR,2015-03-17 13:30:00,82204,13,-0.45,2015-03-17 14:32:00,2015-03-17 13:30:00,0.566666666666667,0.928571428571429
1A06,LEEDS,2015-03-17 06:40:00,82229,33,-0.8,2015-03-17 08:51:02,2015-03-17 06:40:00,0.566666666666667,1
5Y52,KNGX,2015-03-17 00:53:00,82207,4,-1.475,2015-03-17 00:58:56,2015-03-17 00:37:00,0.566666666666667,1
1D07,KNGX,2015-03-17 09:03:00,82222,34,-0.683333333333333,2015-03-17 11:16:51,2015-03-17 09:02:00,0.566666666666667,1
1N17,KNGX,2015-03-17 12:30:00,82206,28,-0.883333333333333,2015-03-17 14:25:31,2015-03-17 12:30:00,0.5625,0.933333333333333
1E05,EDINBUR,2015-03-17 07:30:00,40711,56,-0.675,2015-03-17 11:43:56,2015-03-17 07:30:00,0.554166666666667,0.982456140350877
1A07,BRADFS,2015-03-17 06:30:00,82205,38,-0.766666666666667,2015-03-17 08:58:46,2015-03-17 06:29:00,0.55,1
1S13,KNGX,2015-03-17 11:00:00,82213,44,-0.816666666666667,2015-03-17 14:27:52,2015-03-17 10:59:00,0.55,0.956521739130435
5N80,FRMPKRS,2015-03-17 04:40:00,82207,6,-1.18333333333333,2015-03-17 05:53:45,2015-03-17 05:12:00,0.541666666666667,0.857142857142857
3A13,NEVLTMD,2015-03-17 05:32:00,82214,9,-0.633333333333333,2015-03-17 06:26:26,2015-03-17 05:34:00,0.516666666666667,0.9
5S03,NEVLTMD,2015-03-17 06:18:00,40732,2,-0.7,2015-03-17 06:33:13,2015-03-17 06:30:00,0.516666666666666,0.666666666666667
1A25,LEEDS,2015-03-17 10:45:00,40737,35,-0.608333333333333,2015-03-17 12:55:28,2015-03-17 10:46:00,0.508333333333333,1
1D17,KNGX,2015-03-17 14:05:00,82227,8,-1.00833333333333,2015-03-17 14:24:59,2015-03-17 14:04:00,0.491666666666667,0.888888888888889
5Y11,HTONTMD,2015-03-17 06:00:00,82209,3,-0.0916666666666667,2015-03-17 06:07:29,2015-03-17 06:00:00,0.483333333333333,1
1N19,KNGX,2015-03-17 13:30:00,82216,16,-0.975,2015-03-17 14:29:07,2015-03-17 13:30:00,0.4625,1
1A15,HAGT,2015-03-17 07:34:00,40701,38,-0.833333333333333,2015-03-17 10:33:00,2015-03-17 07:34:00,0.445833333333334,0.95
1A00,NEWANG,2015-03-17 05:35:00,82204,19,-0.408333333333333,2015-03-17 06:55:00,2015-03-17 05:35:00,0.441666666666667,0.95
1D15,KNGX,2015-03-17 13:05:00,82200,19,-0.466666666666667,2015-03-17 14:29:15,2015-03-17 13:04:00,0.416666666666667,0.863636363636364
5Y08,HTONTMD,2015-03-17 05:12:00,40704,2,-0.308333333333333,2015-03-17 05:18:42,2015-03-17 05:12:55,0.391666666666667,0.666666666666667
5S09,BNDSGRN,2015-03-17 07:49:00,82220,5,-0.416666666666667,2015-03-17 08:12:12,2015-03-17 07:51:23,0.383333333333333,1
5D04,BNDSGRN,2015-03-17 06:33:00,82216,5,-0.716666666666667,2015-03-17 06:45:04,2015-03-17 06:23:36,0.366666666666667,1
5D03,BNDSGRN,2015-03-17 05:50:00,82200,5,-0.433333333333333,2015-03-17 06:10:43,2015-03-17 05:49:28,0.35,1
3Y14,HTONTMD,2015-03-17 04:30:00,82201,8,-0.933333333333333,2015-03-17 05:34:57,2015-03-17 04:33:00,0.345833333333333,0.888888888888889
1A34,LEEDS,2015-03-17 14:15:00,82219,4,-0.9,2015-03-17 14:31:31,2015-03-17 14:18:00,0.333333333333333,1
5S06,BNDSGRN,2015-03-17 06:05:00,82208,5,-1.05,2015-03-17 06:20:47,2015-03-17 05:56:09,0.316666666666667,1
5D01,BNDSGRN,2015-03-17 02:08:00,82211,4,-1.01666666666667,2015-03-17 02:31:55,2015-03-17 02:24:00,0.279166666666667,0.8
5A09,NEVLTMD,2015-03-17 06:31:00,40708,2,-0.4,2015-03-17 06:45:40,2015-03-17 06:42:00,0.266666666666667,0.666666666666667
1Y38,NWCSTLE,2015-03-17 14:25:00,82229,2,-1.46666666666667,2015-03-17 14:27:13,2015-03-17 14:25:00,0.25,1
5Y08,KNGX,2015-03-17 09:40:00,40704,6,-0.85,2015-03-17 09:52:51,2015-03-17 09:39:00,0.233333333333333,1
1S20,KNGX,2015-03-17 14:00:00,40748,10,-0.6,2015-03-17 14:27:34,2015-03-17 13:59:00,0.158333333333333,1
5S06,EDINBUR,2015-03-17 12:36:00,82208,1,-1.4,2015-03-17 12:36:24,2015-03-17 12:35:00,0,0.5
5E04,CRGNTNY,2015-03-17 06:21:00,82206,1,-1.15,2015-03-17 06:32:09,2015-03-17 06:31:00,0,0.5
5E01,CRGNTNY,2015-03-17 04:47:00,82213,1,-0.666666666666667,2015-03-17 04:53:40,2015-03-17 04:53:00,0,0.5
5D36,LEEDS,2015-03-17 02:46:00,40708,1,-4.63333333333333,2015-03-17 02:49:38,2015-03-17 02:45:00,0,0.5
3B81,NEVLTMD,2015-03-17 04:40:00,40742,1,-1.93333333333333,2015-03-17 07:10:56,2015-03-17 07:09:00,0,0.0666666666666667
1N21,KNGX,2015-03-17 14:30:00,82217,1,-3.76666666666667,2015-03-17 14:32:46,2015-03-17 14:29:00,0,1
5E05,CRGNTNY,2015-03-17 06:57:00,40711,1,-0.683333333333333,2015-03-17 06:58:41,2015-03-17 06:58:00,0,0.5
5E19,CRGNTNY,2015-03-17 13:41:00,82208,1,-0.933333333333333,2015-03-17 13:51:56,2015-03-17 13:51:00,0,0.5
5A01,NEVLTMD,2015-03-17 04:25:00,40737,1,-0.583333333333333,2015-03-17 04:24:35,2015-03-17 04:24:00,0,0.5
5S01,HTONTMD,2015-03-17 05:51:00,40748,1,0.166666666666667,2015-03-17 05:59:00,2015-03-17 05:58:50,0,0.5
