headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
1S05,KNGX,2015-03-17 07:00:00,82231,57,-0.783333333333333,2015-03-17 11:21:18,2015-03-17 07:00:00,0.7,0.966101694915254
1S05,KNGX,2015-03-17 07:00:00,82226,1,3.53333333333333,2015-03-17 07:06:00,2015-03-17 07:01:37,0.850000000000001,0.0909090909090909
1S06,KNGX,2015-03-17 07:30:00,82226,1,-2.11666666666667,2015-03-17 07:34:07,2015-03-17 07:32:00,0,0.333333333333333
1D03,KNGX,2015-03-17 07:05:00,82228,1,1.375,2015-03-17 07:13:11,2015-03-17 07:06:17,5.9625,0.1
1D03,KNGX,2015-03-17 07:05:00,82225,1,3.15,2015-03-17 07:11:00,2015-03-17 07:07:28,0.383333333333333,0.1
1A01,LEEDS,2015-03-17 05:05:00,82208,1,-4.11666666666667,2015-03-17 07:31:07,2015-03-17 07:27:00,0,0.0277777777777778
1D03,KNGX,2015-03-17 07:05:00,82226,1,-4.45,2015-03-17 07:15:27,2015-03-17 07:11:00,0,0.1
1A02,LEEDS,2015-03-17 05:30:00,82215,1,-2.4,2015-03-17 07:12:24,2015-03-17 07:10:00,0,0.0344827586206897
1A01,LEEDS,2015-03-17 05:05:00,82207,1,-2.41666666666667,2015-03-17 07:18:25,2015-03-17 07:16:00,0,0.0277777777777778
1D03,KNGX,2015-03-17 07:05:00,82223,1,-3.43333333333333,2015-03-17 07:28:26,2015-03-17 07:25:00,0,0.1
1S05,KNGX,2015-03-17 07:00:00,82222,1,-0.2,2015-03-17 07:33:12,2015-03-17 07:33:00,0,0.0909090909090909
1A01,LEEDS,2015-03-17 05:05:00,82231,2,0.683333333333334,2015-03-17 07:16:00,2015-03-17 07:11:22,3.95,0.0555555555555556
1E04,EDINBUR,2015-03-17 06:55:00,40748,1,-1.06666666666667,2015-03-17 07:27:04,2015-03-17 07:26:00,0,0.0909090909090909
1Y03,NWCSTLE,2015-03-17 04:45:00,82231,1,-0.9,2015-03-17 07:33:54,2015-03-17 07:33:00,0,0.0285714285714286
1N80,KNGX,2015-03-17 07:08:00,82226,1,-2.45,2015-03-17 07:15:27,2015-03-17 07:13:00,0,0.1
1S01,NWCSTLE,2015-03-17 06:22:00,82230,1,4.68333333333333,2015-03-17 07:15:00,2015-03-17 07:10:19,0,0.0833333333333333
1Y05,NWCSTLE,2015-03-17 05:25:00,82217,2,-2.36666666666667,2015-03-17 07:29:37,2015-03-17 07:26:00,1,0.0666666666666667
1S05,KNGX,2015-03-17 07:00:00,82228,1,-0.541666666666667,2015-03-17 07:06:48,2015-03-17 07:06:00,0.258333333333333,0.0909090909090909
1D01,KNGX,2015-03-17 05:50:00,82229,1,4.36666666666667,2015-03-17 07:28:00,2015-03-17 07:23:38,0,0.0384615384615385
1N04,KNGX,2015-03-17 06:15:00,82222,2,-1.15833333333333,2015-03-17 07:16:02,2015-03-17 07:12:00,2.875,0.1
1D03,KNGX,2015-03-17 07:05:00,40737,1,-1.55,2015-03-17 07:16:33,2015-03-17 07:15:00,0,0.1
1D03,KNGX,2015-03-17 07:05:00,82220,1,-1.125,2015-03-17 07:15:00,2015-03-17 07:09:24,1.7875,0.1
1D03,KNGX,2015-03-17 07:05:00,82207,6,-3.39166666666667,2015-03-17 07:22:19,2015-03-17 07:04:00,0.174999999999999,0.6
1N80,KNGX,2015-03-17 07:08:00,40737,1,1.45,2015-03-17 07:18:00,2015-03-17 07:16:33,0,0.1
1A01,LEEDS,2015-03-17 05:05:00,82200,1,0.0333333333333333,2015-03-17 07:16:00,2015-03-17 07:15:58,0,0.0277777777777778
1D02,KNGX,2015-03-17 06:30:00,82223,1,3.18333333333333,2015-03-17 07:13:00,2015-03-17 07:09:49,0,0.0588235294117647
1S01,NWCSTLE,2015-03-17 06:22:00,82206,1,0.0333333333333333,2015-03-17 07:27:00,2015-03-17 07:26:58,0,0.0833333333333333
1S02,DONC,2015-03-17 06:15:00,82213,2,-0.3,2015-03-17 07:24:01,2015-03-17 07:22:00,1.71666666666667,0.117647058823529
1D01,KNGX,2015-03-17 05:50:00,40702,3,3.53333333333333,2015-03-17 07:16:00,2015-03-17 07:11:28,2,0.115384615384615
1D01,KNGX,2015-03-17 05:50:00,40704,2,-1.7,2015-03-17 07:30:42,2015-03-17 07:28:00,1,0.0769230769230769
1A01,LEEDS,2015-03-17 05:05:00,82220,1,2.56666666666667,2015-03-17 07:25:57,2015-03-17 07:16:51,4.55,0.0277777777777778
1A01,LEEDS,2015-03-17 05:05:00,82226,1,-2.58333333333333,2015-03-17 07:24:35,2015-03-17 07:22:00,0,0.0277777777777778
1A02,LEEDS,2015-03-17 05:30:00,82200,1,2.28333333333333,2015-03-17 07:28:00,2015-03-17 07:25:43,0,0.0344827586206897
1D02,KNGX,2015-03-17 06:30:00,82222,2,-2.28333333333333,2015-03-17 07:23:13,2015-03-17 07:18:00,1.46666666666667,0.117647058823529
1S02,DONC,2015-03-17 06:15:00,82209,2,-2.06666666666667,2015-03-17 07:14:04,2015-03-17 07:11:00,1,0.117647058823529
1N80,KNGX,2015-03-17 07:08:00,82228,1,0.183333333333333,2015-03-17 07:13:11,2015-03-17 07:12:27,0.366666666666667,0.1
1A04,LEEDS,2015-03-17 06:05:00,82217,1,3.1,2015-03-17 07:26:00,2015-03-17 07:22:54,0,0.0454545454545455
1D01,KNGX,2015-03-17 05:50:00,82203,3,-0.983333333333333,2015-03-17 07:18:00,2015-03-17 07:15:00,1.79166666666667,0.115384615384615
1Y03,NWCSTLE,2015-03-17 04:45:00,82217,1,-2.65,2015-03-17 07:15:39,2015-03-17 07:13:00,0,0.0285714285714286
1A04,LEEDS,2015-03-17 06:05:00,82211,2,2,2015-03-17 07:17:00,2015-03-17 07:11:00,3,0.0909090909090909
1E01,EDINBUR,2015-03-17 05:40:00,82212,2,-0.708333333333333,2015-03-17 07:24:25,2015-03-17 07:22:00,1.70833333333333,0.0909090909090909
1S05,KNGX,2015-03-17 07:00:00,82223,1,3.56666666666667,2015-03-17 07:26:00,2015-03-17 07:22:26,0,0.0909090909090909
1S05,KNGX,2015-03-17 07:00:00,82220,1,3.06666666666667,2015-03-17 07:09:24,2015-03-17 07:01:54,3.75,0.0909090909090909
1Y08,NWCSTLE,2015-03-17 06:00:00,82211,1,-0.408333333333333,2015-03-17 07:31:17,2015-03-17 07:29:32,0.875,0.0454545454545455
1S05,KNGX,2015-03-17 07:00:00,82225,1,-1.46666666666667,2015-03-17 07:08:14,2015-03-17 07:02:49,2.70833333333333,0.0909090909090909
1A09,LEEDS,2015-03-17 07:15:00,40732,1,1.9,2015-03-17 07:14:00,2015-03-17 07:12:06,0,0.166666666666667
1S05,KNGX,2015-03-17 07:00:00,40737,1,2.36666666666667,2015-03-17 07:15:00,2015-03-17 07:12:38,0,0.0909090909090909
1D01,KNGX,2015-03-17 05:50:00,82222,2,3.93333333333333,2015-03-17 07:05:00,2015-03-17 06:59:04,1,0.0769230769230769
1N04,KNGX,2015-03-17 06:15:00,82223,2,1.1,2015-03-17 07:08:00,2015-03-17 07:01:54,2.5,0.1
1D02,KNGX,2015-03-17 06:30:00,82205,2,1.88333333333333,2015-03-17 07:51:00,2015-03-17 07:46:38,2.48333333333333,0.0833333333333333
1N04,KNGX,2015-03-17 06:15:00,82205,1,-3.9,2015-03-17 07:45:54,2015-03-17 07:42:00,0,0.037037037037037
1S03,LEEDS,2015-03-17 07:10:00,82213,1,-4.73333333333333,2015-03-17 07:48:44,2015-03-17 07:44:00,0,0.0769230769230769
1E03,EDINBUR,2015-03-17 06:26:00,82212,1,1.68333333333333,2015-03-17 07:51:00,2015-03-17 07:49:19,0,0.05
1D02,KNGX,2015-03-17 06:30:00,82203,1,1.53333333333333,2015-03-17 07:35:00,2015-03-17 07:33:28,0,0.0416666666666667
1S05,KNGX,2015-03-17 07:00:00,82205,1,2.53333333333333,2015-03-17 08:01:00,2015-03-17 07:58:28,0,0.0588235294117647
1E01,EDINBUR,2015-03-17 05:40:00,40732,1,3.03333333333333,2015-03-17 07:48:00,2015-03-17 07:44:58,0,0.0344827586206897
1S05,KNGX,2015-03-17 07:00:00,82203,2,-2.63333333333333,2015-03-17 07:48:38,2015-03-17 07:45:00,1,0.117647058823529
1Y03,NWCSTLE,2015-03-17 04:45:00,82207,1,1.31666666666667,2015-03-17 07:40:00,2015-03-17 07:38:41,0,0.0238095238095238
1S05,KNGX,2015-03-17 07:00:00,40702,2,3.93333333333333,2015-03-17 07:47:00,2015-03-17 07:40:48,1.13333333333333,0.117647058823529
1A02,LEEDS,2015-03-17 05:30:00,82208,1,-2.06666666666667,2015-03-17 07:41:04,2015-03-17 07:39:00,0,0.0285714285714286
1N80,KNGX,2015-03-17 07:08:00,82229,2,-1.26666666666667,2015-03-17 08:02:36,2015-03-17 07:59:00,2.33333333333333,0.125
1N04,KNGX,2015-03-17 06:15:00,40742,1,-2.63333333333333,2015-03-17 07:44:38,2015-03-17 07:42:00,0,0.037037037037037
1B81,LINCLNC,2015-03-17 07:20:00,82217,2,2.51666666666667,2015-03-17 07:45:00,2015-03-17 07:40:51,1.63333333333333,0.4
1Y08,NWCSTLE,2015-03-17 06:00:00,82217,2,-0.85,2015-03-17 07:41:47,2015-03-17 07:39:00,1.83333333333333,0.0714285714285714
1A06,LEEDS,2015-03-17 06:40:00,82207,1,3.15,2015-03-17 08:02:00,2015-03-17 07:57:55,0.933333333333333,0.0476190476190476
1A06,LEEDS,2015-03-17 06:40:00,82215,1,3.9,2015-03-17 07:47:00,2015-03-17 07:43:06,0,0.0476190476190476
1S05,KNGX,2015-03-17 07:00:00,82229,1,-4.01666666666667,2015-03-17 07:58:01,2015-03-17 07:54:00,0,0.0588235294117647
